"","x"
"1084","28"
"1085","39"
"1086","38"
"1087","36"
"1088","27"
"1089","30"
"1090","30"
"1091","36"
"1092","36"
"1093","38"
"1094","30"
"1095","35"
"1096","36"
"1097","27"
"1098","36"
"1099","26"
"1100","35"
"1101","26"
"1102","27"
"1103","35"
"1104","33"
"1105","36"
"1106","30"
"1107","27"
"1108","27"
"1109","30"
"1110","27"
"1111","36"
"1112","36"
"1113","38"
"1114","30"
"1115","35"
"1116","30"
"1117","27"
"1118","33"
"1119","36"
"1120","28"
"1121","9"
"1122","29"
"1123","36"
"1124","36"
"1125","30"
"1126","27"
"1127","36"
"1128","38"
"1129","36"
"1130","40"
"1131","39"
"1132","31"
"1133","33"
"1134","36"
"1135","35"
"1136","35"
"1137","28"
"1138","30"
"1139","40"
"1140","26"
"1141","27"
"1142","35"
"1143","36"
"1144","39"
"1145","30"
"1146","14"
"1147","10"
"1148","27"
"1149","36"
"1150","35"
"1151","12"
"1152","27"
"1153","36"
"1154","36"
"1155","26"
"1156","36"
"1157","34"
"1158","30"
"1159","30"
"1160","38"
"1161","28"
"1162","25"
"1163","36"
"1164","30"
"1165","36"
"1166","28"
"1167","36"
"1168","27"
"1169","26"
"1170","31"
"1171","36"
"1172","38"
"1173","26"
"1174","40"
"1175","30"
"1176","30"
"1177","36"
"1178","14"
"1179","36"
"1180","30"
"1181","36"
"1182","10"
"1183","26"
"1184","26"
"1185","37"
"1186","38"
"1187","12"
"1188","30"
"1189","26"
"1190","30"
"1191","36"
"1192","36"
"1193","12"
"1194","36"
"1195","36"
"1196","30"
"1197","10"
"1198","27"
"1199","30"
"1200","39"
"1201","30"
"1202","32"
"1203","30"
"1204","10"
"1205","27"
"1206","25"
"1207","38"
"1208","36"
"1209","31"
"1210","36"
"1211","18"
"1212","19"
"1213","19"
"1214","16"
"1215","24"
"1216","19"
"1217","20"
"1218","19"
"1219","20"
"1220","20"
"1221","20"
"1222","16"
"1223","20"
"1224","24"
"1225","24"
"1226","17"
"1227","19"
"1228","19"
"1229","16"
"1230","20"
"1231","20"
"1232","25"
"1233","14"
"1234","19"
"1235","20"
"1236","17"
"1237","19"
"1238","19"
"1239","16"
"1240","17"
"1241","23"
"1242","17"
"1243","16"
"1244","19"
"1245","20"
"1246","23"
"1247","17"
"1248","17"
"1249","24"
"1250","19"
"1251","20"
"1252","20"
"1253","20"
"1254","18"
"1255","20"
"1256","20"
"1257","23"
"1258","24"
"1259","20"
"1260","20"
"1261","20"
"1262","20"
"1263","20"
"1264","19"
"1265","17"
"1266","19"
"1267","20"
"1268","16"
"1269","16"
"1270","20"
"1271","18"
"1272","17"
"1273","23"
"1274","20"
"1275","23"
"1276","16"
"1277","20"
"1278","20"
"1279","20"
"1280","23"
"1281","16"
"1282","24"
"1283","25"
"1284","20"
"1285","23"
"1286","24"
"1287","23"
"1288","20"
"1289","16"
"1290","17"
"1291","24"
"1292","20"
"1293","22"
"1294","16"
"1295","17"
"1296","17"
"1297","24"
"1298","20"
"1299","40"
"1300","24"
"1301","23"
"1302","17"
"1303","16"
"1304","18"
"1305","25"
"1306","16"
"1307","17"
"1308","25"
"1309","23"
"1310","40"
"1311","25"
"1312","24"
"1313","19"
"1314","17"
"1315","20"
"1316","20"
"1317","20"
"1318","17"
"1319","24"
"1320","25"
"1321","25"
"1322","17"
"1323","24"
"1324","20"
"1325","20"
"1326","20"
"1327","17"
"1328","16"
"1329","19"
"1330","24"
"1331","17"
"1332","18"
"1333","20"
"1334","20"
"1335","24"
"1336","40"
"1337","20"
"1338","18"
"1339","17"
"1340","20"
"1341","20"
"1342","20"
"1343","16"
"1344","17"
"1345","19"
"1346","18"
"1347","19"
"1348","20"
"1349","23"
"1350","16"
"1351","24"
"1352","16"
"1353","23"
"1354","16"
"1355","20"
"1356","23"
"1357","14"
"1358","17"
"1359","25"
"1360","23"
"1361","24"
"1362","22"
"1363","18"
"1364","18"
"1365","18"
"1366","17"
"1367","16"
"1368","23"
"1369","19"
"1370","20"
"1371","24"
"1372","20"
"1373","20"
"1374","23"
"1375","17"
"1376","24"
"1377","14"
"1378","17"
"1379","23"
"1380","16"
"1381","40"
"1382","19"
"1383","25"
"1384","25"
"1385","20"
"1386","24"
"1387","23"
"1388","19"
"1389","24"
"1390","24"
"1391","24"
"1392","16"
"1393","24"
"1394","24"
"1395","18"
"1396","14"
"1397","25"
"1398","19"
"1399","20"
"1400","19"
"1401","22"
"1402","20"
"1403","20"
"1404","20"
"1405","20"
"1406","25"
"1407","20"
"1408","18"
"1409","20"
"1410","17"
"1411","20"
"1412","20"
"1413","23"
"1414","19"
"1415","16"
"1416","20"
"1417","16"
"1418","20"
"1419","16"
"1420","20"
"1421","19"
"1422","20"
"1423","20"
"1424","20"
"1425","19"
"1426","20"
"1427","20"
"1428","16"
"1429","20"
"1430","24"
"1431","19"
"1432","19"
"1433","20"
"1434","20"
"1435","20"
"1436","20"
"1437","19"
"1438","23"
"1439","20"
"1440","20"
"1441","20"
"1442","20"
"1443","20"
"1444","23"
"1445","20"
"1446","20"
