Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3
-3.802183148,-11,-0.938871378,-0.182645087,-11,-5.667357108,-0.681647977,-0.204906568,-1.149165378,2.632053243,-0.700963668,-3.386716638,-11,-11,-11,-11,0.148907573,-11,-11,-11,-11,-11,1.252455843,-4.657898498,-0.474360208,-11,-11,-11,-1.497846518,-6.026193498,-11,-11,-6.110620038,-11,-11,-11,-11,-1.944831028,-1.833829348,1.167770483,-11,-11
-11,-11,3.760102733,-0.694142877,-1.304321028,-0.689235288,2.545911903,-11,-1.291464258,3.078433843,0.198273873,1.232770763,-11,-3.648003478,-4.260690248,-2.774032828,-2.224998978,-11,-1.824575008,-11,-3.666607708,-2.830797698,1.913906043,-0.125094297,-1.375953418,-11,-0.430187918,-3.671672348,-0.950588988,-11,-1.153869928,-11,-8.115168288,0.634522703,-11,-0.053254168,-3.915571938,-11,-3.009679908,0.340467493,-7.140285598,-3.314995598
-11,-11,-11,-3.194904633,-11,-11,-1.541843893,2.759895868,-2.884218493,-11,1.325619708,-1.209237603,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.757088417,-2.524364553,-1.243910813,-11,-11,-11,1.367289678,-11,-11,-11,-8.271801853,-11,-11,-11,-11,-11,-11,0.988626927,-11,-4.478659133
-1.387369173,-11,3.966301368,1.276721748,-3.012130523,-1.666309213,2.668163478,-1.502446203,-1.400388193,4.402684068,-1.298074903,-2.688229873,-11,-11,-11,-2.957855693,-2.245319453,-11,-2.985895853,-11,-11,-4.083716223,2.546214898,-0.231464232,-2.174689943,-4.950020973,1.050621818,-11,1.080768718,-11,-11,-11,-5.204269293,-0.692771793,-1.891426523,-11,-3.296136933,-2.091964653,-3.901071843,0.064176837,-7.812496843,-2.305462803
-1.394215643,-11,4.686042838,0.132740998,-1.583579623,-2.153088663,2.254962988,-2.917138543,-1.536270353,3.484028068,1.089195078,-1.562987773,-11,-11,-1.947182913,-11,-1.702288963,-11,-11,-11,-1.942747443,-1.751313093,1.410433968,-0.921255983,-0.582829432,-5.667410353,1.009920108,-2.923598103,0.250335098,-4.316424683,-4.182484753,-5.897760483,-4.987368013,0.087857318,-2.680068243,0.839413178,-4.419652353,-11,-3.704699013,0.440193878,-7.905925063,-3.701492993
-2.52420793,-11,2.29059975,-0.91508944,-3.04761805,-1.46312932,1.94840548,-1.6580538,-3.0483274,3.83195751,-0.02333992,-1.43385092,-11,-11,-11,-11,-4.01392567,-11,-3.17750779,-11,-2.32675246,-4.41623277,1.64078328,-2.27667175,-2.00930387,-5.45685446,0.15910577,-3.66673592,-0.06099654,-11,-2.85012309,-4.42122598,-5.94204577,-1.7806354,-3.17357453,-0.78986988,-3.02641968,-3.6601697,-3.66902762,0.58300575,-7.37462403,-3.52970679
-3.11027972,-11,3.41867055,-1.55308156,-1.52130229,-0.87000467,1.74994629,-1.83704795,-3.09548804,3.89541862,0.26460358,-0.33023441,-11,-11,-4.26751386,-11,-3.24585701,-11,-3.30415958,-11,-5.33137718,-11,1.67689737,-1.58278803,-1.75132355,-11,0.33213047,-5.29670441,-0.14899568,-11,-2.93891096,-11,-5.7232478,0.28241358,-11,-0.0064273,-4.9805235,-3.46920962,-2.82821068,-1.71264349,-8.72616225,-11
-3.96412989,-11,3.86829415,-0.66607246,-1.3845447,-2.61343444,-0.40499628,-1.98581341,-2.94975629,3.29366906,-0.97996872,-1.18825853,-11,-11,-4.31842523,-11,-3.42622861,-11,-1.42726311,-11,-4.85097289,-1.88642731,1.01955956,-4.07688039,-3.11825525,-6.7474821,0.19349956,-11,-1.71938558,-7.64641597,-11,-11,-3.55566157,0.16928868,-11,-0.83032771,-3.72215333,-11,-2.49459606,0.01854756,-7.4483707,-11
-3.714047655,-11,3.812897765,0.718982745,-2.435012395,-1.097554685,1.924017735,-2.228831015,-1.508363545,4.437692845,1.045654195,-0.383383045,-11,-11,-11,-11,-11,-11,-1.463886965,-11,-4.625459545,-4.113974605,1.692970055,-2.364116985,-2.800803845,-4.666340535,-0.464830195,-11,-0.802354105,-11,-11,-11,-3.710926575,0.804070445,-4.037374795,-0.847201245,-4.635249475,-3.934923035,-2.748696345,0.026643185,-7.458557185,-4.396982475
-3.679875728,-11,0.795758633,0.368631773,-11,-1.242582528,2.158294793,1.091256203,-1.157431198,4.192244163,0.012746433,-1.477927648,-11,-11,-11,-3.626125768,-0.778689257,-11,-3.535733608,-11,-11,-2.751520628,2.248171133,-0.483208417,-0.196977267,-3.480939138,-0.368753577,-3.923357948,0.225535023,-11,-11,-11,-3.087615968,-0.857547148,-11,-3.730554768,-4.712902178,-2.164254008,-0.812546407,1.382650473,-6.938808338,-3.610619258
-11,-11,-0.492048528,0.485241612,-2.564497608,-7.850810538,0.236688523,-0.183496138,-1.832415408,2.965093673,0.489069743,-2.709037608,-11,-11,-11,-11,-1.195659348,-11,-11,-11,-11,-11,2.793247873,-2.483728468,-0.156816518,-11,-3.035388958,-4.869516328,-0.984178387,-11,-11,-11,-6.543100868,-11,-11,-11,-11,-3.852857378,-4.129006308,1.188968943,-6.919068338,-3.484390518
-5.25577175,-11,-1.15096236,-0.25156866,-3.95948692,-4.36605539,-0.0177951,1.35863949,-2.27099008,2.90737384,0.46797371,-1.08152032,-11,-11,-11,-11,-1.15474554,-11,-2.08621193,-11,-11,-11,1.73215769,-3.8670725,-2.46319283,-3.52526061,-1.02757977,-3.83047261,-2.68647315,-11,-3.84857257,-11,-6.55325428,-3.08851342,-3.15625614,-2.75246678,-6.67909125,-11,-0.98269294,1.76465218,-6.5372198,-5.6341586
-2.337257643,-11,3.067855148,0.314560618,-2.753920003,-2.730932993,0.450063478,-2.994452873,-3.060325343,3.184577708,-1.534020523,-0.878903073,-11,-11,-11,-11,-2.069024463,-11,-11,-11,-11,-2.950762413,1.327806628,-0.144336293,-1.660686663,-11,-1.003394943,-11,-0.066141923,-11,-11,-11,-4.580905713,-1.141402853,-1.623022243,-5.488119093,-5.087789023,-1.953347423,-2.596411213,0.866721778,-8.273424643,-11
-2.728954245,-11,4.238780395,0.659309615,-1.709306975,-0.267657905,2.217651365,-1.870717325,-2.246792645,3.495293565,-0.818705685,-0.975345815,-11,-11,-3.783988195,-11,-4.220890125,-11,-1.763195285,-11,-11,-2.506448005,2.437553445,-0.988581305,-1.618568595,-11,-0.426864665,-3.610203675,0.897755165,-11,-3.444738165,-11,-5.152375575,0.113835815,-2.090530455,-7.363753745,-11,-2.887422755,-4.132248415,0.485727915,-6.194596725,-3.663336935
-11,-11,2.8605967,-0.08185543,-0.45469712,-0.78277464,1.91693901,-3.5023264,-2.0525462,3.2778477,0.33075137,0.26539801,-11,-11,-11,-3.38648492,-3.77928635,-11,-1.44673946,-11,-11,-11,2.14591124,-1.00596866,-1.82310967,-4.26120694,-0.36625081,-11,0.07697368,-11,-6.68327182,-11,-6.05840001,0.65444286,-11,-1.57733749,-11,-2.41671351,-2.34863702,-0.03836134,-5.23132561,-4.73939674
-11,-11,0.566038293,-1.553073678,-11,-4.575078598,0.361064912,-0.109276637,-2.704365628,1.653846563,-0.174851128,-2.865446398,-11,-11,-11,-3.415618668,-0.700421228,-11,-4.334636478,-11,-11,-3.156261078,1.743072383,-3.785474278,-1.516093958,-6.004812218,-3.418388248,-3.191257708,-1.613098088,-11,-2.556467108,-11,-6.893820588,-4.349734428,-1.255363518,-1.972198728,-11,-2.303479008,-3.571725138,0.301688572,-8.025275228,-3.905340868
-11,-0.040404528,-11,-11,-11,-11,-1.227165138,-11,-11,-11,-1.438522138,0.194548302,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-2.565795818,-2.773844788,-11,-11,-11,-3.153813268,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
-6.02459385,-11,-4.27752678,-1.33507716,-4.84550552,-3.7756562,-0.46098042,0.52014735,-2.68390143,2.72545343,0.10665924,-1.95825445,-11,-11,-11,-11,-1.35870059,-11,-2.6177629,-11,-11,-11,1.40166132,-4.39078158,-0.5019559,-8.18620055,-1.94171897,-11,-0.82837044,-11,-11,-11,-6.3996511,-4.3775827,-11,-3.3454066,-11,-11,-4.54713384,1.25837923,-5.49447699,-11
-2.00231263,-11,3.77267521,-1.69481724,-3.6558431,-4.66810205,1.80979698,-1.81152898,-2.09670847,0.41772099,0.2952605,-2.02684447,-3.48133501,-11,-2.32923579,-2.68607496,-1.64411261,-11,-11,-11,-2.31573043,-3.29728503,-0.37276526,-0.88270929,-2.04228299,-4.780633,0.00938427,-11,-1.98710519,-11,-1.84573856,-4.97336453,-6.61102164,-0.77979178,-11,0.23795651,-0.77677239,-11,-3.90825898,-0.62246372,-9.18876596,-11
-4.323048698,-11,3.124678723,0.778774213,-3.504069048,-0.931389967,0.256767463,0.593421683,-2.432066278,2.439178983,-1.764327498,-1.571656298,-11,-11,-11,-11,0.202620333,-11,-2.771339958,-11,-4.796740038,-11,2.285798413,-1.159872618,-2.226162048,-3.342717358,0.703615663,-11,-3.224516878,-11,-4.406342788,-11,-5.265102098,-0.355843827,-3.588975258,-11,-11,-2.161242998,-2.335627088,0.418148703,-7.800331908,-11
-2.319489408,-11,2.893806913,-0.502475408,-3.595640408,-1.475307688,1.778784723,-2.887878558,-1.921756048,3.624809443,-0.277397468,-0.784829378,-11,-5.157728438,-2.350661158,-1.810887208,-0.693952278,-11,-1.733051808,-11,-11,-2.520778028,0.967837242,-0.690578468,-1.507488128,-4.168759378,0.267170022,-11,-3.910761788,-11,-2.729497438,-11,-6.730740018,-0.194489548,-11,-1.017849268,-11,-11,-2.251454038,-0.155375998,-6.881328538,-5.298635158
-1.937131778,-11,3.085409753,-0.227988488,-1.811451968,-1.090646748,1.611012533,-1.803451318,-3.093427568,3.602189993,0.613523592,-0.690734728,-4.684136658,-11,-3.602482368,-11,-3.570997818,-11,-11,-11,-4.175888318,-2.478383138,1.680219873,-2.043584488,-0.895643598,-5.868772218,0.557019022,-11,-1.820219928,-11,-4.242437528,-4.862036118,-5.906460298,-0.340632958,-11,-0.725432348,-4.363803948,-4.493511588,-3.677223578,0.247511422,-11,-11
-2.300589618,-11,3.120616713,0.389963343,-0.670316588,-0.410127328,1.820721713,-1.108130458,-1.475755138,3.952487153,0.039717412,-0.100759427,-11,-11,-3.669776148,-11,-2.337591798,-11,-11,-11,-2.898677218,-2.778687828,2.430284783,-0.781937697,-1.462539618,-11,-0.702519747,-4.273330898,1.149413203,-4.934800108,-3.147426368,-11,-3.876392748,-0.425262517,-3.153879248,-2.099256918,-2.134696808,-1.382060698,-1.054785578,1.323702623,-5.728790718,-11
-4.257675643,-11,3.304917758,-1.116540753,-1.465552293,-1.610185133,1.360736948,-1.026117323,-2.462270143,2.657796788,1.119294328,-1.089128073,-11,-11,-11,-3.245486593,-1.382263823,-11,-11,-11,-11,-3.181014273,1.180512418,-1.267422673,-1.356220643,-11,0.257429568,-11,-0.634813032,-11,-11,-11,-6.328587493,-0.252225742,-2.511981133,-2.237278623,-4.512791703,-4.027371283,-3.105799893,0.227685398,-6.599248903,-4.113560783
-3.74180862,-11,3.9712859,0.05105,-1.81667585,-0.9491341,1.92096951,-5.03325996,-1.88748248,4.45478297,-0.88525486,-2.30950685,-11,-11,-11,-11,-0.37693938,-11,-11,-11,-11,-2.66002719,2.49018346,-0.52078806,-2.72327104,-3.60168429,0.67728422,-1.97671517,0.68823697,-5.474438,-11,-11,-3.67832459,0.17158335,-4.4922425,-3.81427897,-11,-1.59300794,-1.88231754,-0.14436691,-6.22782857,-11
-2.566660853,-11,2.561207128,-2.288570893,-11,-2.054705073,0.134591467,-1.846687393,-2.282642233,3.486529898,-0.022514643,-1.433537533,-11,-11,-11,-4.177480393,-0.661381373,-11,-1.789722503,-11,-11,-2.695292483,1.540815558,-3.379171713,-2.568030723,-11,-0.063175653,-5.004874973,-0.095801283,-11,-3.777896073,-11,-6.599797293,-2.183206513,-11,-4.586949963,-4.663394493,-4.291335273,-1.296679373,1.253343028,-6.704793963,-11
-2.83436427,-11,1.99437158,-0.70490885,-4.81345983,-3.02720636,0.94715999,-1.5390176,-2.73731531,2.63687931,-0.28659195,-0.9132843,-11,-11,-11,-11,-2.69170111,-11,-1.95982423,-11,-4.12450252,-11,1.12795782,-1.75074229,-0.44683887,-8.89949583,-2.17305785,-4.71088712,-0.76362464,-11,-3.9794949,-11,-6.17131484,-1.10152388,-11,-3.60214266,-11,-2.80523928,-3.58938174,-0.38779889,-6.21409337,-3.65549929
-11,1.183540853,-11,-3.948512978,-11,-11,-0.127919078,-11,-2.875420548,-11,-2.214950128,0.119393622,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-0.657453108,-1.100040808,-11,-11,-11,-1.462647288,-3.938810668,-11,-11,-7.125462678,-11,-11,-11,-11,-0.404629458,-11,-11,-11,-11
-11,-3.807009675,-11,-8.289185225,-11,-4.463477475,-1.794165625,-2.723761895,-2.922801695,-11,0.913239975,-2.602925195,-11,-5.235434325,-11,-11,-11,-11,-11,-11,-11,-11,1.088093395,-3.448543035,-0.221035955,-11,-11,-4.351963435,-2.602293645,-6.525964685,-4.023849085,-11,-11,-11,-11,-11,-11,-11,-11,-11,-5.822817525,-11
-1.796546435,-11,3.738557335,0.269737135,-1.823060215,-0.512090605,2.740010425,-1.258498655,-1.979820745,3.969758645,1.135384545,-0.133805595,-11,-5.492509275,-11,-4.783206355,-2.621045475,-11,-2.307544035,-11,-11,-2.610672605,1.922462795,-0.770656095,-1.742709145,-8.959191975,1.602245735,-11,0.375363765,-11,-11,-11,-4.699348545,0.381363055,-11,-1.743542105,-3.716717975,-1.980639255,-0.898742175,0.347862865,-6.622192055,-11
-2.804785135,-11,0.410072035,-0.301040705,-3.347464415,-2.609549925,1.551448495,1.157887315,-1.396924335,4.288576305,1.065112825,-0.860697715,-11,-11,-4.351201185,-11,-0.741226885,-11,-1.318984005,-11,-11,-3.581454035,2.021758515,-2.678293475,-0.095213625,-8.219848985,-1.815902015,-11,-0.345580925,-11,-1.677051265,-11,-3.310795295,-3.246537355,-3.201390775,-2.718748945,-1.410754175,-11,-1.085024935,1.922139715,-5.160032685,-4.186464685
-3.957501148,-11,3.230609313,-0.227872768,-1.702223288,-0.949186428,2.323180103,-1.099235388,-2.568645988,4.123081753,-1.261402728,-1.328887858,-11,-11,-2.922168518,-11,-1.108914788,-11,-7.912605168,-11,-11,-3.435572548,1.800065643,-0.771470258,-0.455409208,-5.054623038,-0.095128368,-11,-0.955225948,-11,-11,-11,-6.112972858,0.034039042,-1.442639878,-2.943617608,-2.868454018,-1.693611998,-1.992254058,-0.946298688,-7.276283098,-11
-3.842676818,-11,2.786359613,0.126723633,-2.363726698,-3.697367268,0.624033303,-0.647542688,-1.137079528,2.860400683,-0.380078127,-1.247344068,-11,-11,-11,-11,-1.475603338,-11,-11,-11,-11,-2.802386108,1.764366913,-1.157585918,-2.301873188,-11,-3.547055228,-5.169773948,0.453699213,-11,-11,-11,-4.586733178,-1.260076168,-3.345409988,-11,-5.461992858,-1.892926898,-3.316034478,0.526477653,-8.217372698,-11
-11,-11,-11,-3.54032984,-2.10483061,-5.59183762,-2.58431751,1.42712334,-1.15631973,0.21589913,1.41149418,-1.39036418,-11,-11,-11,-11,-2.92667598,-11,-11,-11,-11,-11,1.9009768,-3.49701725,-1.69294536,-3.79127046,-11,-11,-0.37487948,-11,-11,-11,-6.55059399,-11,-11,-5.37649606,-4.28952091,-11,-3.19409857,1.44700753,-7.38309357,-4.21011398
-11,-11,-11,-5.32339728,-11,-4.96772969,-1.32058888,0.68465542,-3.1570349,-4.01896167,0.69940171,-0.57295831,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.16731191,-3.91963122,-1.09396844,-11,-11,-11,0.83729011,-11,-11,-11,-6.87544228,-4.70634474,-11,-11,-11,-11,-11,-4.21738892,-6.56304898,-5.12992994
-1.171811643,-11,0.047833347,-1.323185633,-11,-0.774343223,2.120991978,-3.269430143,-3.139180743,3.029652208,0.145380368,-1.542952703,-4.280015443,-11,-4.951870893,-11,-3.801845073,-11,-1.035917823,-11,-4.967474973,-11,1.158084208,-6.160718973,-1.728522813,-4.652475053,-2.645176933,-11,-1.453354293,-11,-1.589601243,-11,-4.982702063,-11,-11,-3.009528893,-11,-3.950962883,-4.795764363,0.676413378,-11,-11
-1.601951548,-11,2.746936393,0.020153093,-1.304916938,-1.074852278,1.773703733,0.134892553,-2.832643288,3.864776643,0.212755173,-1.819016578,-11,-11,-11,-11,-2.701487818,-11,-4.207258688,-11,-4.711287898,-11,2.235919603,-0.327182318,-1.334155248,-3.934811498,0.623816523,-2.591709188,-0.116081568,-11,-3.713319588,-11,-6.237027788,-0.053942217,-11,-11,-3.534640388,-11,-3.365445688,0.100063323,-5.937458318,-2.942551388
-1.753876263,-11,3.465053488,-0.794519843,-4.677761843,-1.491433853,1.450863458,-11,-2.507790023,3.606300338,-1.254768873,-1.644328633,-11,-11,-11,-11,-3.413860093,-11,-2.482904613,-11,-5.184327093,-11,1.506883028,-2.122409813,-11,-3.957586873,0.331083648,-11,-1.048725663,-11,-4.374810173,-11,-7.207165863,-0.319268863,-11,-2.003825463,-4.227306733,-2.821178103,-3.666764313,-0.433660363,-7.404802883,-4.500719873
-2.147175675,-11,-11,-11,-11,-5.697727175,-1.405146465,0.895755035,-3.760698125,-11,0.694786245,-1.606306315,-11,-11,-11,-3.176290655,-1.645501765,-11,-11,-11,-11,-11,1.379667975,-11,-1.991088345,-11,-11,-4.263878785,-11,-3.962738335,-11,-11,-4.614955905,-11,-3.525734945,-5.430453815,-11,-11,-11,0.664818995,-11,-11
-2.594887968,-11,1.885307633,1.291226773,-11,-4.220375958,1.408231413,-0.894602268,-1.786052138,4.558048173,-0.583613938,-11,-11,-11,-11,-11,0.824993652,-11,-11,-11,-11,-11,3.157900633,1.007515983,-0.577396678,-11,-0.901777488,-2.199829568,-0.523854778,-4.395579258,-3.040170638,-11,-5.611731178,-11,-11,-11,-2.161542428,-1.797041938,-1.270751798,1.258935343,-6.218905408,-11
-4.047657475,-11,2.442020465,0.682323705,-2.151380365,-1.087876695,1.236759185,0.349982435,-2.149400395,3.976093775,0.116828115,-0.941848125,-11,-11,-11,-11,-0.778909535,-11,-11,-11,-11,-4.741816215,2.181318655,-2.086531305,-0.791660055,-3.814961095,-0.651204775,-3.878452675,-0.198213205,-11,-11,-11,-5.434663615,-1.796427195,-11,-3.007481125,-11,-1.642686855,-1.588477765,0.537255525,-5.103194385,-5.180645845
-11,0.820569517,-11,-4.253313653,-11,-11,-1.774645243,-11,-11,-11,-2.971797373,1.616208378,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-2.989738663,-11,-11,-11,-2.768755853,-11,-11,-11,-11,-11,-11,-0.959372713,-11,-11,-3.394206133,-11,-11,-4.213165333
-11,-11,-2.68938545,-0.53366584,-11,-3.41474491,0.39676721,0.15319624,-2.20763777,3.26413208,-0.71611447,-1.3465743,-11,-11,-11,-11,-0.95507203,-11,-11,-11,-11,-5.82141658,1.71341281,-5.01174341,-1.21461299,-9.35910402,-1.95974556,-11,-2.82113643,-6.17666062,-3.16023723,-11,-7.11922748,-2.63418253,-3.57231895,-1.70103628,-4.10936999,-2.69953017,-1.44534574,0.00960522,-6.62677614,-4.30047723
-11,-11,-11,-3.459419525,-4.994132965,-11,-0.738373765,1.399848325,-2.786750745,-11,0.869007405,-1.929502335,-11,-11,-11,-3.841873685,-1.385967635,-11,-11,-11,-11,-11,1.804234555,-3.951292675,-0.967380535,-11,-11,-11,0.200613715,-11,-11,-11,-7.077819325,-11,-11,-11,-11,-3.464198795,-11,0.647710505,-9.177968895,-11
-2.793589455,-11,2.662430835,-0.997737415,-2.755232335,-4.155751585,1.122921635,-3.040899865,-2.218891065,2.342111275,-0.012954685,-0.376975225,-4.591386225,-9.059014675,-1.355756875,-11,-2.194949335,-11,-2.448794905,-11,-2.441987115,-3.000266715,0.450264395,-0.860626155,-1.302531475,-5.828979605,0.163518535,-11,-0.376210155,-11,-1.627361375,-5.487741525,-5.878713965,-0.486969275,-2.297492795,0.343660385,-3.225108305,-11,-4.158382205,-0.221539305,-6.149372325,-5.657720585
-3.68834935,-11,3.49597115,-0.99425899,-4.49166877,-0.81366407,1.68050351,-2.48248251,-3.07498975,3.33137716,0.44558407,-1.85639945,-11,-11,-11,-11,-2.90463299,-11,-2.10326268,-11,-11,-4.80917249,1.80204409,-1.14845031,-4.62987167,-3.25062293,-1.00720852,-3.84689668,-0.39414139,-11,-11,-11,-5.53668292,-2.49262078,-11,-5.05475536,-11,-11,-2.14947402,-0.1435396,-6.96232931,-3.56771312
-11,-4.504400455,-3.792285915,-4.263355525,-11,-1.734246945,-2.835668395,-3.544391625,-2.913551935,-0.120319645,0.401111185,1.359365375,-11,-11,-11,-11,-11,-11,-3.431919295,-11,-11,-11,-1.392844255,-0.054753035,-1.480620405,-11,-11,-11,-5.505255935,-6.130069965,-11,-11,-5.933150575,-1.461521055,-4.517544715,-7.697397135,-11,-11,-11,-3.317890875,-3.638506795,-2.796628615
-3.021628753,-11,3.818883748,-0.364249712,-3.813531683,-0.972735122,-0.047266042,-2.896617523,-1.997654213,2.865408228,-0.128248602,-1.085678683,-11,-11,-11,-3.607521973,-4.077035333,-11,-3.710607413,-11,-11,-4.021070253,1.300605068,-0.927306972,-1.773351123,-4.154439333,-4.365792853,-4.037611243,-1.188537733,-11,-11,-11,-5.749562123,-0.047816632,-11,-3.783688723,-2.702351243,-2.721923813,-3.594659273,-0.739196652,-8.054150673,-4.853661503
-2.547964763,-11,1.334444498,0.340182668,-1.439725193,-0.731874982,2.167482358,-0.160276803,-2.550495373,4.331174218,0.951729408,-1.618467333,-11,-11,-5.648060463,-11,-2.287511603,-11,-2.726920473,-11,-4.574562183,-11,1.717187628,-1.015811963,-2.290136493,-3.978404153,-0.926330342,-4.073271263,-0.229801253,-11,-11,-11,-5.515852203,-0.285579572,-11,-11,-11,-0.719932933,-2.304333493,0.122217188,-7.447059863,-11
-2.43403099,-11,2.49364012,0.6926667,-11,-1.76111434,2.3010773,0.37715762,-2.83316273,3.32988992,-1.31735063,-2.18118072,-11,-11,-11,-2.96684546,-2.91504272,-11,-11,-11,-11,-3.24156889,2.25022668,-3.22204006,-1.89963803,-3.62893328,-1.5047069,-11,-0.36979997,-11,-3.83001711,-11,-4.23805372,-2.37573381,-11,-5.08324739,-11,-2.65928573,-3.60905336,0.30062995,-5.91360149,-11
-7.193010888,-11,3.346949833,-0.966260567,-2.709508468,-1.372578528,1.518382263,-2.899405028,-3.032991848,2.813956723,0.470199223,-1.640155468,-11,-11,-11,-11,-3.992570438,-11,-3.218357798,-11,-4.198178258,-11,1.126528263,-2.611129938,-1.480650698,-5.634058978,-2.691732838,-11,-0.668774478,-11,-4.803298738,-6.707772358,-3.949352188,0.173686442,-11,-2.631433618,-11,-3.568899708,-1.921768378,-2.061531338,-6.084163868,-3.585867398
-4.285191413,-11,3.916584728,0.235071538,-1.113441753,-0.251577042,2.384877808,-3.347091763,-2.405730343,3.588931528,0.215761928,0.091685448,-11,-11,-11,-11,-0.704858142,-11,-1.974714693,-11,-11,-4.507477303,2.726677558,-0.430163873,-1.596442613,-11,0.850652348,-11,0.356843408,-11,-11,-4.612267713,-3.940544753,0.321433068,-11,-3.051833963,-11,-3.859996203,-1.239991923,0.924956108,-4.230841843,-4.152994893
-1.90612335,-11,2.85984025,-2.36735071,-3.87823259,-3.46461294,1.14200566,-3.4558642,-1.80819001,1.94747231,0.62298337,0.52728837,-8.24742484,-5.19762282,-1.08990737,-6.8880689,-2.82861896,-11,-4.6637376,-11,-1.03776589,-3.54810275,-0.81737612,-0.67066931,-0.62452739,-4.78619684,0.19893566,-11,-0.79972022,-11,-0.05615743,-2.68372602,-7.6222441,-1.54847583,-2.30595499,-0.88149691,-0.79211213,-11,-3.70355548,-2.26377233,-6.59824945,-5.681024
-3.098589863,-11,4.298226848,-0.162310772,-2.685453833,-1.198260633,1.515099698,-3.756767043,-2.429055593,3.287378598,-0.633953972,-2.319592693,-11,-11,-11,-11,-1.532608813,-11,-2.907034563,-11,-4.786409813,-2.155230223,1.338157128,-1.045331123,-0.761731552,-5.229194443,-2.033231153,-11,-1.978528873,-11,-11,-11,-4.711223743,0.977954848,-2.754274723,-4.322614813,-3.219579463,-2.663106973,-1.354836063,-0.781837322,-11,-11
-11,-11,-2.161026235,-1.284319285,-11,-4.511873815,-0.656228285,1.486942915,-1.755494335,-0.773860595,1.874323735,0.061788635,-11,-11,-11,-11,-0.674760455,-11,-11,-11,-11,-11,2.109654775,-5.528410075,0.344910435,-11,-11,-4.057378505,-0.433096355,-11,-11,-11,-5.305863745,-5.205404375,-3.581063135,-11,-11,-11,-2.119259215,1.140809875,-11,-11
-1.913393208,-11,0.099944752,-2.758125578,-5.014909668,-3.406048958,0.286922552,-1.302045968,-2.679156938,1.494131453,-2.199759048,-1.779366068,-11,-11,-11,-11,-1.230182688,-11,-11,-11,-11,-3.244546378,1.638885063,-4.826975388,-3.765527498,-3.158635378,-2.189714718,-2.491115178,-0.268347808,-11,-4.476764058,-11,-3.658855288,-5.174596148,-11,-5.349148938,-11,-2.588653678,-1.676915048,0.235538222,-5.913712238,-11
-2.119653578,-11,3.745660523,-0.697878647,-2.905758158,-1.638757318,1.490115413,-2.540589628,-3.193011718,3.442151593,-1.185555538,-1.533624118,-4.495424218,-11,-3.070332008,-11,-1.441838628,-11,-11,-11,-4.612535168,-11,1.189425593,-1.787608308,-0.801208718,-3.978852818,-0.429712057,-11,-2.182365768,-11,-11,-4.574737628,-5.272643778,-1.365808208,-4.781025048,-2.839020688,-2.552201478,-11,-1.736530718,-0.317937327,-8.127905378,-4.959112178
-3.37082287,-11,1.55885993,0.47338386,-1.4945379,-1.63232735,1.42622498,0.18174144,-2.02986097,4.05248015,-0.43517953,-0.27902246,-11,-11,-11,-11,-0.96296456,-11,-11,-11,-11,-2.06231133,1.66481068,-0.71184447,-0.52953142,-11,-0.18228979,-2.91289727,0.11058437,-11,-11,-11,-4.47000183,-2.07896657,-3.78428957,-3.23651162,-4.08503679,-4.10450473,-2.28243611,1.46420534,-5.83457099,-3.68277094
-2.365324208,-11,2.463478973,-0.188563657,-0.972805667,-1.503008028,1.661265593,-1.024571588,-2.876185308,3.581472673,0.219540383,-0.769918597,-11,-11,-11,-4.261624218,-1.424689158,-11,-3.948985738,-11,-5.813998448,-4.330123648,1.534420353,-0.479263677,-1.598730408,-3.805702008,-1.037039708,-5.914033738,-0.374215767,-11,-4.187526508,-11,-4.190261508,-0.996008597,-4.744293718,-11,-11,-3.852658618,-2.111721478,-0.185192737,-4.566651238,-11
-3.88321754,-11,-1.58149867,-1.26504868,-11,-11,-1.99462061,-0.3346998,-1.85832659,2.27228182,0.98351261,-1.87972955,-11,-11,-11,-3.51164929,-1.00496355,-11,-3.6457543,-11,-11,-5.51531672,1.95600624,-2.8203379,-1.27244191,-5.89971551,-11,-11,-1.09361716,-4.65221775,-11,-11,-4.09255744,-11,-4.0538803,-11,-11,-2.59233517,-1.69238014,0.54271797,-7.04443506,-2.87842456
